Land,Landkreis,Gemeinde-schlüssel,Gemeinde,Schneelastzone,Fußnote(n),DC,ZIP,comments
TH,Schmalkalden-Meiningen,16066001,Altersbach,3,,16066,,DC rule (DC 16066)
TH,Schmalkalden-Meiningen,16066002,Aschenhausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066003,Bauerbach,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066004,Behrungen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066005,Belrieth,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066006,Benshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066007,Berkach,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066008,Bermbach,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066011,Bibra,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066012,Birx,2a,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066013,Breitungen/Werra,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066014,Brotterode,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066015,Christes,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066016,Dillstädt,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066017,Einhausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066018,Ellingshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066019,Erbenhausen,2a,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066021,Exdorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066022,Fambach,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066023,Floh-Seligenthal,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066024,Frankenheim/Rhön,2a,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066025,Friedelshausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066028,Henneberg,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066031,Herpf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066032,Heßles,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066033,Hümpfershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066034,Jüchsen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066035,Kaltensundheim,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066036,Kaltenwestheim,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066037,Kleinschmalkalden,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066038,Kühndorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066039,Leutersdorf,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066041,Mehmels,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066042,Meiningen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066043,Melpers,2a,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066044,Metzels,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066045,Neubrunn,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066046,Nordheim,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066047,Oberhof,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066048,Oberkatz,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066049,Obermaßfeld-Grimmenthal,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066051,Oberschönau,3,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066052,Oberweid,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066053,Oepfershausen,2,,16066,,covered by DC rule!
TH,Schmalkalden-Meiningen,16066054,Queienfeld,2,,16066,,covered by DC rule!
